arrival_time,front_of_queue_time,counter_arrival_time,counter_service_start_time,counter_service_end_time,food_delay_start_time,food_delay_end_time,cashier_arrival_time,cashier_service_start_time,cashier_service_end_time
12:21:22 PM,12:21:24 PM,,,,12:21:30 PM,12:23:48 PM,12:23:51 PM,12:24:15 PM,12:24:33 PM
12:22:25 PM,12:22:36 PM,,,,12:22:40 PM,12:22:59 PM,12:22:58 PM,12:23:04 PM,12:23:17 PM
12:23:41 PM,12:23:45 PM,,,,12:24:25 PM,12:25:39 PM,12:25:34 PM,12:25:40 PM,12:26:06 PM
12:24:15 PM,12:24:19 PM,,,,12:24:39 PM,12:24:40 PM,12:24:50 PM,12:24:51 PM,12:25:10 PM
12:26:45 PM,12:26:48 PM,12:27:05 PM,12:27:07 PM,12:28:17 PM,12:27:20 PM,12:28:19 PM,12:28:22 PM,12:28:45 PM,12:28:52 PM
12:26:53 PM,12:28:10 PM,,,,12:28:27 PM,12:28:42 PM,12:28:25 PM,12:28:54 PM,12:29:09 PM
12:27:33 PM,12:27:36 PM,,,,12:27:42 PM,12:28:59 PM,12:28:55 PM,12:29:01 PM,12:29:19 PM
12:27:58 PM,12:28:18 PM,,,,12:28:20 PM,12:29:21 PM,12:29:18 PM,12:29:23 PM,12:29:40 PM
12:28:00 PM,12:28:03 PM,,,,12:28:28 PM,12:29:25 PM,12:29:31 PM,12:29:33 PM,12:30:07 PM
12:28:40 PM,12:28:42 PM,,,,12:28:46 PM,12:31:59 PM,12:32:08 PM,12:32:09 PM,12:32:21 PM
12:30:30 PM,12:30:34 PM,,,,12:31:28 PM,12:33:01 PM,12:33:06 PM,12:33:12 PM,12:33:28 PM
12:30:38 PM,12:30:40 PM,,,,12:30:44 PM,12:31:02 PM,12:31:14 PM,12:31:15 PM,12:31:39 PM
12:30:53 PM,12:32:57 PM,,,,12:33:02 PM,12:33:32 PM,12:33:34 PM,12:33:41 PM,12:34:02 PM
12:31:08 PM,12:31:12 PM,,,,12:31:12 PM,12:33:40 PM,12:33:45 PM,12:34:08 PM,12:34:20 PM
12:31:27 PM,12:33:12 PM,,,,12:33:32 PM,12:33:56 PM,12:34:17 PM,12:34:28 PM,12:34:37 PM
12:31:27 PM,12:31:53 PM,,,,12:31:58 PM,12:33:55 PM,12:34:02 PM,12:34:23 PM,12:34:34 PM
12:31:29 PM,12:33:13 PM,,,,12:33:32 PM,12:35:27 PM,12:35:51 PM,12:36:00 PM,12:36:27 PM
12:34:11 PM,12:34:20 PM,,,,12:34:23 PM,12:35:19 PM,12:35:21 PM,12:35:34 PM,12:35:57 PM
12:34:29 PM,12:34:36 PM,,,,12:34:41 PM,12:35:36 PM,12:35:37 PM,12:35:50 PM,12:36:12 PM
